tconst	averageRating	numVotes
tt0000001	5.7	1990
tt0000002	5.8	265
tt0000003	6.5	1858
tt0000004	5.5	178
tt0000005	6.2	2644
tt0000006	5.0	183
tt0000007	5.4	829
tt0000008	5.4	2130
tt0000009	5.3	206
tt0000010	6.9	7249
tt0000011	5.2	371
tt0000012	7.4	12389
tt0000013	5.7	1899
tt0000014	7.1	5573
tt0000015	6.2	1104
tt0000016	5.9	1523
tt0000017	4.6	331
tt0000018	5.3	605
tt0000019	4.8	32
tt0000020	4.8	365
tt0000022	5.1	1105
tt0000023	5.7	1449
tt0000024	4.2	118
tt0000025	3.8	46
tt0000026	5.6	1551
tt0000027	5.6	1169
tt0000028	5.1	1093
tt0000029	5.9	3394
tt0000030	5.2	860
tt0000031	5.5	1014
tt0000032	5.0	424
tt0000033	5.5	1039
tt0000034	4.9	219
tt0000035	5.7	83
tt0000036	4.4	611
tt0000037	4.3	69
tt0000038	4.2	205
tt0000039	3.3	33
tt0000040	4.0	69
tt0000041	6.7	1895
tt0000042	3.9	39
tt0000043	3.2	34
tt0000044	3.8	49
tt0000045	3.8	35
tt0000046	3.9	36
tt0000047	3.3	36
tt0000048	4.7	203
tt0000049	5.0	50
tt0000050	3.9	36
tt0000051	3.4	37
tt0000052	4.2	106
tt0000053	3.1	20
tt0000054	4.7	36
tt0000055	3.4	32
tt0000056	2.8	24
tt0000057	4.2	36
tt0000058	4.0	35
tt0000059	3.2	29
tt0000060	7.4	89
tt0000061	4.1	28
tt0000062	6.3	202
tt0000063	3.2	30
tt0000064	2.8	31
tt0000065	3.1	31
tt0000066	3.0	31
tt0000067	5.5	69
tt0000068	3.5	33
tt0000069	4.9	479
tt0000070	6.4	2677
tt0000071	3.1	31
tt0000072	3.3	29
tt0000073	3.2	32
tt0000074	4.3	33
tt0000075	6.3	1953
tt0000076	4.4	541
tt0000077	4.3	37
tt0000078	3.7	89
tt0000079	4.1	37
tt0000080	3.8	33
tt0000081	3.9	34
tt0000082	4.6	51
tt0000083	4.4	34
tt0000084	4.1	32
tt0000085	4.5	35
tt0000086	3.9	35
tt0000087	4.5	39
tt0000088	4.0	34
tt0000089	6.2	1011
tt0000090	3.7	33
tt0000091	6.7	3735
tt0000092	4.2	31
tt0000093	4.7	95
tt0000094	4.2	38
tt0000095	4.6	36
tt0000096	4.1	31
tt0000097	4.6	35
tt0000098	4.9	38
tt0000099	4.4	34
tt0000100	4.7	56
tt0000101	4.2	30
tt0000102	4.4	28
tt0000103	5.1	29
tt0000104	5.5	474
tt0000105	4.7	31
tt0000106	4.1	25
tt0000107	4.8	30
tt0000108	4.4	550
tt0000109	4.5	531
tt0000110	4.4	537
tt0000111	4.4	553
tt0000112	4.5	529
tt0000113	4.3	559
tt0000114	4.8	32
tt0000115	4.6	36
tt0000116	4.8	29
tt0000117	5.1	169
tt0000118	4.8	34
tt0000119	5.1	61
tt0000120	4.9	57
tt0000121	4.2	98
tt0000122	4.8	33
tt0000123	5.6	156
tt0000124	4.9	32
tt0000125	4.1	17
tt0000126	5.5	33
tt0000127	4.2	28
tt0000128	5.5	40
tt0000129	6.4	53
tt0000130	4.8	30
tt0000131	5.8	1442
tt0000132	5.0	1087
tt0000133	6.0	37
tt0000134	4.5	22
tt0000135	6.3	86
tt0000137	4.7	35
tt0000138	6.4	1158
tt0000139	5.0	26
tt0000140	4.9	309
tt0000141	5.2	113
tt0000142	4.3	31
tt0000143	5.0	271
tt0000144	5.1	327
tt0000145	3.1	15
tt0000146	4.8	28
tt0000147	5.3	481
tt0000148	3.0	16
tt0000149	4.2	23
tt0000150	5.4	178
tt0000151	4.7	66
tt0000152	6.2	269
tt0000153	5.7	477
tt0000154	3.5	15
tt0000155	4.9	30
tt0000156	3.6	25
tt0000157	3.5	17
tt0000158	2.9	17
tt0000159	5.0	139
tt0000160	5.3	27
tt0000161	3.2	16
tt0000162	5.4	483
tt0000163	4.4	15
tt0000164	5.0	306
tt0000165	4.6	134
tt0000166	3.4	20
tt0000167	4.0	151
tt0000168	2.9	18
tt0000169	3.6	50
tt0000170	5.2	267
tt0000171	3.7	17
tt0000172	6.1	975
tt0000173	4.3	46
tt0000174	4.6	133
tt0000175	5.0	226
tt0000176	4.1	15
tt0000177	4.6	248
tt0000178	5.2	208
tt0000179	4.3	46
tt0000181	6.6	61
tt0000182	4.9	563
tt0000183	5.6	37
tt0000184	4.8	329
tt0000186	4.2	24
tt0000187	4.7	58
tt0000188	3.2	13
tt0000189	6.2	11
tt0000190	4.8	148
tt0000192	4.6	191
tt0000194	5.3	85
tt0000196	4.7	30
tt0000197	4.0	21
tt0000198	4.0	21
tt0000199	3.5	15
tt0000200	2.6	14
tt0000201	5.2	23
tt0000204	4.8	15
tt0000205	4.7	33
tt0000206	4.6	15
tt0000207	4.7	14
tt0000208	5.7	578
tt0000209	4.5	32
tt0000210	4.6	35
tt0000211	7.4	4473
tt0000213	4.7	251
tt0000214	4.2	104
tt0000215	4.1	130
tt0000216	5.4	10
tt0000218	5.9	670
tt0000219	6.6	31
tt0000222	4.6	246
tt0000223	5.4	19
tt0000225	5.1	37
tt0000228	4.9	289
tt0000229	4.4	112
tt0000230	6.5	1713
tt0000231	2.6	19
tt0000234	6.3	70
tt0000235	6.3	898
tt0000239	5.5	263
tt0000240	4.4	92
tt0000242	6.4	1244
tt0000245	6.2	51
tt0000246	6.4	1055
tt0000247	5.0	498
tt0000248	6.1	1625
tt0000251	5.3	151
tt0000253	3.9	27
tt0000256	4.8	177
tt0000261	5.4	67
tt0000264	5.7	458
tt0000265	4.3	145
tt0000269	4.8	136
tt0000271	6.5	12
tt0000272	5.6	866
tt0000273	5.5	646
tt0000274	5.6	265
tt0000276	6.9	32
tt0000277	6.1	67
tt0000279	4.2	24
tt0000280	4.5	24
tt0000283	5.9	17
tt0000284	5.3	243
tt0000285	4.6	27
tt0000286	5.7	268
tt0000287	4.9	165
tt0000288	5.2	203
tt0000292	5.1	102
tt0000296	5.8	249
tt0000299	5.6	275
tt0000300	6.9	1340
tt0000301	4.4	427
tt0000302	5.2	241
tt0000304	6.0	1286
tt0000306	5.3	246
tt0000307	5.0	93
tt0000308	5.3	121
tt0000309	6.1	922
tt0000310	7.3	34
tt0000313	5.8	807
tt0000319	5.7	236
tt0000321	4.8	231
tt0000328	6.3	14
tt0000335	6.1	55
tt0000337	4.9	376
tt0000340	4.9	319
tt0000341	4.9	375
tt0000346	4.7	232
tt0000347	4.4	117
tt0000349	5.5	137
tt0000350	5.7	750
tt0000352	5.4	58
tt0000353	5.2	369
tt0000355	6.2	749
tt0000357	5.8	469
tt0000358	6.2	744
tt0000359	7.1	3028
tt0000361	7.6	26
tt0000363	6.2	180
tt0000364	5.6	171
tt0000368	6.8	22
tt0000370	5.6	542
tt0000373	6.4	97
tt0000376	6.1	20
tt0000377	6.1	128
tt0000379	3.9	12
tt0000380	6.9	27
tt0000381	3.6	26
tt0000384	5.8	300
tt0000387	5.1	398
tt0000388	5.2	132
tt0000399	6.1	769
tt0000400	5.9	17
tt0000406	5.8	45
tt0000407	3.6	39
tt0000409	5.1	249
tt0000410	6.7	1049
tt0000412	3.9	27
tt0000413	5.5	470
tt0000414	5.4	768
tt0000416	5.4	180
tt0000417	8.2	53129
tt0000420	6.2	2770
tt0000423	5.5	244
tt0000425	4.9	25
tt0000426	3.8	21
tt0000430	5.9	708
tt0000432	5.7	239
tt0000436	6.1	530
tt0000437	5.1	284
tt0000439	7.3	20234
tt0000440	5.4	234
tt0000442	4.7	97
tt0000446	4.8	25
tt0000447	6.4	2583
tt0000451	6.5	979
tt0000452	4.6	114
tt0000455	6.8	1889
tt0000456	4.0	63
tt0000459	4.4	77
tt0000464	4.8	458
tt0000465	7.3	1693
tt0000469	5.8	1104
tt0000471	5.2	514
tt0000472	6.3	23
tt0000479	5.3	399
tt0000480	5.0	209
tt0000487	6.9	530
tt0000488	6.9	834
tt0000491	3.7	69
tt0000492	4.8	134
tt0000495	6.0	118
tt0000496	5.9	69
tt0000497	5.2	87
tt0000498	6.6	1269
tt0000499	7.5	3812
tt0000501	4.6	51
tt0000502	4.1	15
tt0000505	6.5	29
tt0000507	3.5	60
tt0000509	5.8	49
tt0000511	6.4	45
tt0000512	4.5	71
tt0000515	4.8	101
tt0000516	6.6	1070
tt0000519	5.7	395
tt0000520	6.3	60
tt0000521	5.5	325
tt0000524	5.8	780
tt0000525	5.4	53
tt0000526	4.2	69
tt0000528	6.2	17
tt0000533	6.7	40
tt0000534	6.7	1226
tt0000535	4.8	61
tt0000537	4.4	94
tt0000543	4.8	17
tt0000546	6.7	1928
tt0000550	3.6	13
tt0000552	5.7	62
tt0000553	6.5	478
tt0000554	6.3	1391
tt0000555	4.9	19
tt0000557	4.6	139
tt0000561	5.0	60
tt0000565	6.2	626
tt0000567	6.8	1273
tt0000570	3.9	55
tt0000571	6.7	70
tt0000574	6.0	843
tt0000575	5.7	530
tt0000576	6.1	239
tt0000578	7.4	28
tt0000582	4.7	727
tt0000583	5.1	51
tt0000584	5.0	83
tt0000588	5.4	8
tt0000591	4.4	20
tt0000594	5.6	14
tt0000595	5.4	13
tt0000596	4.9	22
tt0000597	4.9	72
tt0000598	5.1	36
tt0000599	3.8	14
tt0000601	5.8	12
tt0000602	4.4	239
tt0000608	5.8	18
tt0000609	4.3	20
tt0000610	4.5	20
tt0000613	4.3	13
tt0000614	6.5	1141
tt0000615	4.3	24
tt0000617	4.7	36
tt0000618	8.5	15
tt0000621	6.5	602
tt0000627	5.7	62
tt0000628	5.7	876
tt0000629	5.6	85
tt0000630	2.8	26
tt0000632	5.0	54
tt0000634	3.5	26
tt0000637	5.5	747
tt0000638	4.9	86
tt0000639	5.1	97
tt0000640	4.4	143
tt0000641	4.7	173
tt0000642	5.2	67
tt0000644	5.1	63
tt0000645	5.0	181
tt0000648	4.6	163
tt0000650	7.6	21
tt0000651	4.8	71
tt0000653	4.5	221
tt0000654	5.0	113
tt0000658	6.4	270
tt0000659	4.8	81
tt0000660	5.4	63
tt0000661	7.2	19
tt0000662	4.3	65
tt0000663	5.1	62
tt0000665	5.3	64
tt0000666	5.4	32
tt0000668	6.6	53
tt0000669	4.8	159
tt0000671	5.7	15
tt0000672	5.9	45
tt0000673	5.5	14
tt0000674	4.6	50
tt0000675	4.2	20
tt0000676	3.6	17
tt0000679	5.1	68
tt0000680	5.2	49
tt0000681	5.3	41
tt0000682	6.9	2681
tt0000683	5.4	86
tt0000684	5.1	128
tt0000685	5.5	48
tt0000689	6.2	57
tt0000690	6.1	43
tt0000694	4.8	51
tt0000695	5.6	53
tt0000697	4.0	31
tt0000698	4.7	26
tt0000699	5.5	27
tt0000700	5.1	77
tt0000704	5.0	58
tt0000706	4.6	31
tt0000707	4.7	27
tt0000708	4.2	38
tt0000709	5.4	66
tt0000713	5.0	23
tt0000717	5.3	19
tt0000720	6.0	18
tt0000722	4.7	12
tt0000724	5.2	41
tt0000725	4.6	15
tt0000727	5.5	20
tt0000728	5.9	128
tt0000730	5.8	69
tt0000731	4.5	24
tt0000733	5.9	31
tt0000734	3.0	14
tt0000737	4.8	34
tt0000738	7.8	20
tt0000739	6.2	16
tt0000740	5.0	19
tt0000741	4.7	25
tt0000743	6.2	15
tt0000746	7.1	20
tt0000747	4.6	21
tt0000748	5.4	27
tt0000749	5.7	815
tt0000752	5.1	136
tt0000754	7.2	63
tt0000755	5.7	215
tt0000756	5.3	133
tt0000758	6.1	30
tt0000759	7.6	12
tt0000762	5.2	33
tt0000764	5.6	138
tt0000767	6.3	19
tt0000769	5.3	165
tt0000770	5.4	156
tt0000771	5.6	23
tt0000772	5.8	20
tt0000775	7.5	11
tt0000776	5.6	129
tt0000778	6.0	16
tt0000779	5.0	18
tt0000781	6.3	19
tt0000782	8.4	20
tt0000784	4.1	25
tt0000785	5.3	65
tt0000787	4.9	21
tt0000789	5.0	67
tt0000790	6.1	392
tt0000792	4.5	70
tt0000793	4.1	20
tt0000797	5.4	173
tt0000798	4.5	16
tt0000800	5.2	114
tt0000801	4.9	74
tt0000803	6.5	11
tt0000807	4.4	62
tt0000809	6.1	63
tt0000815	4.4	66
tt0000816	4.5	130
tt0000817	3.9	20
tt0000819	5.1	67
tt0000821	4.6	125
tt0000823	4.2	54
tt0000825	4.1	56
tt0000826	3.9	55
tt0000827	5.2	97
tt0000828	5.2	114
tt0000829	4.1	59
tt0000831	5.2	137
tt0000832	6.6	2627
tt0000833	6.4	712
tt0000835	4.8	156
tt0000836	4.7	53
tt0000837	5.1	43
tt0000840	5.6	345
tt0000841	5.2	81
tt0000843	5.2	41
tt0000844	6.6	21
tt0000845	4.5	43
tt0000847	5.6	16
tt0000848	5.4	23
tt0000851	4.9	46
tt0000852	5.7	256
tt0000853	5.2	41
tt0000854	5.9	527
tt0000855	5.2	51
tt0000857	4.6	38
tt0000858	4.6	38
tt0000860	4.5	79
tt0000861	4.9	60
tt0000862	4.4	17
tt0000864	5.6	60
tt0000866	5.7	9
tt0000870	5.2	59
tt0000871	5.7	119
tt0000873	5.8	12
tt0000874	4.7	52
tt0000875	4.3	38
tt0000877	4.7	105
tt0000878	5.0	179
tt0000880	5.8	85
tt0000882	5.7	216
tt0000884	3.5	12
tt0000886	4.7	40
tt0000887	4.9	50
tt0000890	6.9	33
tt0000891	5.6	59
tt0000892	5.5	79
tt0000893	6.2	42
tt0000895	5.5	207
tt0000896	3.2	24
tt0000897	5.3	65
tt0000898	5.2	27
tt0000900	3.6	24
tt0000901	4.5	25
tt0000902	4.5	17
tt0000903	5.4	22
tt0000904	5.3	116
tt0000905	4.8	24
tt0000908	6.0	31
tt0000910	4.8	27
tt0000911	2.6	26
tt0000912	4.2	68
tt0000916	6.0	64
tt0000919	3.2	24
tt0000920	4.2	24
tt0000921	5.0	26
tt0000922	5.4	112
tt0000924	6.1	186
tt0000928	5.3	96
tt0000929	5.3	46
tt0000930	4.6	12
tt0000932	3.2	10
tt0000933	4.8	49
tt0000934	3.8	20
tt0000935	6.1	110
tt0000936	6.2	121
tt0000938	4.5	188
tt0000939	4.9	20
tt0000941	4.5	27
tt0000942	6.1	1029
tt0000944	3.8	11
tt0000945	4.7	79
tt0000946	4.6	82
tt0000950	4.0	16
tt0000954	5.0	17
tt0000956	5.6	16
tt0000957	6.1	50
tt0000958	5.3	17
tt0000960	4.7	291
tt0000961	8.1	22
tt0000962	4.4	15
tt0000964	4.5	17
tt0000966	5.6	353
tt0000967	4.4	18
tt0000969	6.4	25
tt0000970	5.8	81
tt0000971	6.3	178
tt0000972	5.7	93
tt0000974	5.1	59
tt0000975	5.1	22
tt0000976	3.9	20
tt0000979	4.9	30
tt0000981	5.6	59
tt0000985	4.4	16
tt0000986	5.1	118
tt0000987	7.8	10
tt0000988	4.7	25
tt0000989	4.7	49
tt0000990	5.9	83
tt0000992	4.4	15
tt0000995	6.6	18
tt0000997	6.2	16
tt0000998	5.2	18
tt0001000	5.3	55
tt0001001	5.2	140
tt0001002	4.8	100
tt0001005	4.8	20
tt0001008	5.2	29
tt0001009	6.5	982
tt0001010	4.2	15
tt0001011	4.4	17
tt0001013	5.9	402
tt0001014	5.0	116
tt0001015	4.7	26
tt0001016	5.1	146
tt0001020	4.2	14
tt0001025	7.3	17
tt0001027	5.3	17
tt0001028	4.1	18
tt0001029	5.1	51
tt0001032	6.0	922
tt0001033	4.4	21
tt0001035	5.1	37
tt0001036	2.6	12
tt0001037	3.4	18
tt0001038	3.7	22
tt0001041	5.2	41
tt0001044	5.5	114
tt0001045	5.6	15
tt0001049	3.5	17
tt0001050	4.9	86
tt0001052	4.8	17
tt0001053	5.4	16
tt0001054	5.7	35
tt0001058	5.0	25
tt0001061	6.5	57
tt0001062	6.2	1248
tt0001063	5.2	17
tt0001064	4.8	44
tt0001065	4.2	17
tt0001066	4.8	21
tt0001067	5.9	48
tt0001071	6.0	15
tt0001072	5.7	372
tt0001074	5.6	21
tt0001075	4.4	17
tt0001076	5.2	26
tt0001077	5.0	15
tt0001078	5.4	54
tt0001079	3.8	17
tt0001083	5.0	145
